Item,Type,Size,Look up,Cost Per Item,Date Cost Entered
Standard Workwear,,,0,,
NA,NA,,NA,£0.00,11/05/23
Standard Workwear,White Polo,,White Polo,£18.87,21/04/23
Standard Workwear,White Shirt Short SL,,White Shirt Short SL,£19.37,21/04/23
Standard Workwear,White Shirt Long SL,,White Shirt Long SL,£21.50,21/04/23
Standard Workwear,Black SS TShirt,,Black SS TShirt,£6.15,11/02/26
Standard Workwear,Black L/S Shirt,,Black L/S Shirt,£10.63,01/02/26
Standard Workwear,Sweatshirt,XS,SweatshirtXS,£11.72,11/02/26
Standard Workwear,Sweatshirt,S,SweatshirtS,£11.72,11/02/26
Standard Workwear,Sweatshirt,M,SweatshirtM,£11.72,11/02/26
Standard Workwear,Sweatshirt,L,SweatshirtL,£11.72,11/02/26
Standard Workwear,Sweatshirt,XL,SweatshirtXL,£11.72,11/02/26
Standard Workwear,Sweatshirt,2XL,Sweatshirt2XL,£11.72,11/02/26
Standard Workwear,Sweatshirt,3XL,Sweatshirt3XL,£11.72,11/02/26
Standard Workwear,Sweatshirt,4XL,Sweatshirt4XL,£11.72,11/02/26
Standard Workwear,Sweatshirt,5XL,Sweatshirt5XL,£11.72,11/02/26
Standard Workwear,Men's V Neck Jumper,,Men's V Neck Jumper,£22.35,11/02/26
Standard Workwear,Women's V Neck Jumper,,Women's V Neck Jumper,£21.90,11/02/26
Standard Workwear,Women's Cardigan,,Women's Cardigan,£23.55,11/02/26
Standard Workwear,Black Softshell Jacket Women's,,Black Softshell Jacket Women's,£31.94,11/02/26
Standard Workwear,Black Softshell Jacket Men's,,Black Softshell Jacket Men's,£34.88,11/02/26
Standard Workwear,Red Soft Shell Jacket,,Red Soft Shell Jacket,£34.88,11/02/26
PPE,,,0,,
PPE,Hi Viz Yellow Vest,S,Hi Viz Yellow VestS,£5.04,21/04/23
PPE,Hi Viz Yellow Vest,M,Hi Viz Yellow VestM,£5.55,11/02/26
PPE,Hi Viz Yellow Vest,L,Hi Viz Yellow VestL,£5.55,11/02/26
PPE,Hi Viz Yellow Vest,XL,Hi Viz Yellow VestXL,£5.55,11/02/26
PPE,Hi Viz Yellow Vest,2XL,Hi Viz Yellow Vest2XL,£5.55,11/02/26
PPE,Hi Viz Yellow Vest,3XL,Hi Viz Yellow Vest3XL,£5.55,11/02/26
PPE,Hi Viz Yellow Vest,4XL,Hi Viz Yellow Vest4XL,£5.55,11/02/26
PPE,Hi Viz Yellow Vest,5XL,Hi Viz Yellow Vest5XL,£5.55,11/02/26
PPE,Hi Viz Yellow Vest,6XL,Hi Viz Yellow Vest6XL,£5.55,11/02/26
PPE,Hi Viz Yellow Vest,7XL,Hi Viz Yellow Vest7XL,£5.55,11/02/26
PPE,Yellow Bomber Jacket,,Yellow Bomber Jacket,£23.29,11/02/26
PPE,Yellow Coat,,Yellow Coat,£23.29,11/02/26
PPE,Orange Hi Viz Vest,M,Orange Hi Viz VestM,£6.55,11/02/26
PPE,Orange Hi Viz Vest,L,Orange Hi Viz VestL,£6.55,11/02/26
PPE,Orange Hi Viz Vest,XL,Orange Hi Viz VestXL,£6.55,11/02/26
PPE,Orange Hi Viz Vest,2XL,Orange Hi Viz Vest2XL,£6.55,11/02/26
PPE,Orange Hi Viz Vest,3XL,Orange Hi Viz Vest3XL,£6.55,11/02/26
PPE,Orange Hi Viz Vest,4XL,Orange Hi Viz Vest4XL,£6.55,11/02/26
PPE,Orange Hi Viz Vest,5XL,Orange Hi Viz Vest5XL,£6.55,11/02/26
PPE,Orange Hi Viz Vest,6XL,Orange Hi Viz Vest6XL,£6.55,11/02/26
PPE,Orange Hi Viz Vest,7XL,Orange Hi Viz Vest7XL,£6.55,11/02/26
PPE,Orange Hi Viz Safety Jacket,,Orange Hi Viz Safety Jacket,£23.13,21/04/23
PPE,Orange Bomber Jacket,,Orange Bomber Jacket,£23.29,11/02/26
adi Stock Hard Hats / Bump Cap,,,0,,
adi Stock Hard Hats / Bump Cap,Bump Cap,,Bump Cap,£9.10,21/04/23
adi Stock Hard Hats / Bump Cap,Hard Hat,,Hard Hat,£6.20,21/04/23
Specialised,,,0,,
Specialised,Food Coat,,Food Coat,£21.70,21/04/23
Specialised,Flame Retardant Coverall,,Flame Retardant Coverall,£33.80,21/04/23
Specialised,Flame Retardant Hi Viz Vest,,Flame Retardant Hi Viz Vest,£15.55,21/04/23
Specialised,Black Tabard,,Black Tabard,£10.59,21/04/23
Specialised,adi Royal Coverall,,adi Royal Coverall,£17.66,21/04/23
Trousers,,,0,,
Trousers,Black Ladies Cargo Trouser,,Black Ladies Cargo Trouser,£12.75,11/02/26
Trousers,Black Work Trouser Reg Leg,,Black Work Trouser Reg Leg,£12.45,11/02/26
Trousers,Black Work Trouser Long Leg,,Black Work Trouser Long Leg,£11.05,11/02/26
Trousers,Black Cargo Trouser Short Leg,,Black Cargo Trouser Short Leg,£13.05,11/02/26
Trousers,Black Cargo Trouser Reg Leg,,Black Cargo Trouser Reg Leg,£11.45,11/02/26
Trousers,Black Cargo Trouser Long Leg,,Black Cargo Trouser Long Leg,£11.45,11/02/26
Trousers,Black Cargo Knee Pocket Trouser Reg Leg,,Black Cargo Knee Pocket Trouser Reg Leg,£14.10,11/02/26
Trousers,Black Cargo Knee Pocket Trouser Long Leg,,Black Cargo Knee Pocket Trouser Long Leg,£11.78,11/02/26
Trousers,Black New Lined Action Trouser,,Black New Lined Action Trouser,£28.35,11/02/26
